,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,548,17,28,,,
1/23/2020,643,18,30,95.0,1.0,2.0
1/24/2020,920,26,36,277.0,8.0,6.0
1/25/2020,1406,42,39,486.0,16.0,3.0
1/26/2020,2075,56,49,669.0,14.0,10.0
1/27/2020,2877,82,58,802.0,26.0,9.0
1/28/2020,5509,131,101,2632.0,49.0,43.0
1/29/2020,6087,133,120,578.0,2.0,19.0
1/30/2020,8141,171,135,2054.0,38.0,15.0
1/31/2020,9802,213,214,1661.0,42.0,79.0
2/1/2020,11891,259,275,2089.0,46.0,61.0
2/2/2020,16630,361,463,4739.0,102.0,188.0
2/3/2020,19716,425,614,3086.0,64.0,151.0
2/4/2020,23707,491,843,3991.0,66.0,229.0
2/5/2020,27440,563,1115,3733.0,72.0,272.0
2/6/2020,30587,633,1477,3147.0,70.0,362.0
2/7/2020,34110,718,1999,3523.0,85.0,522.0
2/8/2020,36814,805,2596,2704.0,87.0,597.0
2/9/2020,39829,905,3219,3015.0,100.0,623.0
2/10/2020,42354,1012,3918,2525.0,107.0,699.0
2/11/2020,44386,1112,4636,2032.0,100.0,718.0
2/12/2020,44759,1117,5082,373.0,5.0,446.0
2/13/2020,59895,1369,6217,15136.0,252.0,1135.0
2/14/2020,66358,1521,7977,6463.0,152.0,1760.0
2/15/2020,68413,1663,9298,2055.0,142.0,1321.0
2/16/2020,70513,1766,10755,2100.0,103.0,1457.0
2/17/2020,72434,1864,12462,1921.0,98.0,1707.0
2/18/2020,74211,2003,14206,1777.0,139.0,1744.0
2/19/2020,74619,2116,15962,408.0,113.0,1756.0
2/20/2020,75077,2238,18014,458.0,122.0,2052.0
2/21/2020,75550,2238,18704,473.0,0.0,690.0
2/22/2020,77001,2443,22699,1451.0,205.0,3995.0
2/23/2020,77022,2445,23187,21.0,2.0,488.0
2/24/2020,77241,2595,25015,219.0,150.0,1828.0
2/25/2020,77754,2665,27676,513.0,70.0,2661.0
2/26/2020,78166,2717,30084,412.0,52.0,2408.0
2/27/2020,78600,2746,32930,434.0,29.0,2846.0
2/28/2020,78928,2790,36329,328.0,44.0,3399.0
2/29/2020,79356,2837,39320,428.0,47.0,2991.0
3/1/2020,79932,2872,42162,576.0,35.0,2842.0
3/2/2020,80136,2914,44854,204.0,42.0,2692.0
3/3/2020,80261,2947,47450,125.0,33.0,2596.0
3/4/2020,80386,2983,50001,125.0,36.0,2551.0
3/5/2020,80537,3015,52292,151.0,32.0,2291.0
3/6/2020,80690,3044,53944,153.0,29.0,1652.0
3/7/2020,80770,3072,55539,80.0,28.0,1595.0
3/8/2020,80823,3100,57388,53.0,28.0,1849.0
3/9/2020,80860,3123,58804,37.0,23.0,1416.0
3/10/2020,80887,3139,60181,27.0,16.0,1377.0
3/11/2020,80921,3161,61644,34.0,22.0,1463.0
3/12/2020,80932,3172,62901,11.0,11.0,1257.0
3/13/2020,80945,3180,64196,13.0,8.0,1295.0
3/14/2020,80977,3193,65660,32.0,13.0,1464.0
3/15/2020,81003,3203,67017,26.0,10.0,1357.0
3/16/2020,81033,3217,67910,30.0,14.0,893.0
3/17/2020,81058,3230,68798,25.0,13.0,888.0
3/18/2020,81102,3241,69755,44.0,11.0,957.0
3/19/2020,81156,3249,70535,54.0,8.0,780.0
3/20/2020,81250,3253,71266,94.0,4.0,731.0
3/21/2020,81305,3259,71857,55.0,6.0,591.0
3/22/2020,81397,3265,72362,92.0,6.0,505.0
3/23/2020,81496,3274,72819,99.0,9.0,457.0
3/24/2020,81591,3281,73280,95.0,7.0,461.0
3/25/2020,81661,3285,73773,70.0,4.0,493.0
3/26/2020,81782,3291,74181,121.0,6.0,408.0
3/27/2020,81897,3296,74720,115.0,5.0,539.0
3/28/2020,81999,3299,75100,102.0,3.0,380.0
3/29/2020,82122,3304,75582,123.0,5.0,482.0
3/30/2020,82198,3308,75923,76.0,4.0,341.0
3/31/2020,82279,3309,76206,81.0,1.0,283.0
4/1/2020,82361,3316,76405,82.0,7.0,199.0
4/2/2020,82432,3322,76565,71.0,6.0,160.0
4/3/2020,82511,3326,76760,79.0,4.0,195.0
4/4/2020,82543,3330,76946,32.0,4.0,186.0
4/5/2020,82602,3333,77207,59.0,3.0,261.0
4/6/2020,82665,3335,77310,63.0,2.0,103.0
4/7/2020,82718,3335,77410,53.0,0.0,100.0
4/8/2020,82809,3337,77567,91.0,2.0,157.0
4/9/2020,82883,3339,77679,74.0,2.0,112.0
4/10/2020,82941,3340,77791,58.0,1.0,112.0
4/11/2020,83014,3343,77877,73.0,3.0,86.0
4/12/2020,83134,3343,77956,120.0,0.0,79.0
4/13/2020,83213,3345,78039,79.0,2.0,83.0
4/14/2020,83306,3345,78200,93.0,0.0,161.0
4/15/2020,83356,3346,78311,50.0,1.0,111.0
4/16/2020,83403,3346,78401,47.0,0.0,90.0
4/17/2020,83760,4636,77552,357.0,1290.0,-849.0
4/18/2020,83787,4636,77614,27.0,0.0,62.0
4/19/2020,83805,4636,77690,18.0,0.0,76.0
4/20/2020,83817,4636,77745,12.0,0.0,55.0
4/21/2020,83853,4636,77799,36.0,0.0,54.0
4/22/2020,83868,4636,77861,15.0,0.0,62.0
4/23/2020,83884,4636,77983,16.0,0.0,122.0
4/24/2020,83899,4636,78109,15.0,0.0,126.0
4/25/2020,83909,4636,78175,10.0,0.0,66.0
4/26/2020,83912,4637,78277,3.0,1.0,102.0
4/27/2020,83918,4637,78374,6.0,0.0,97.0
