date,positive
04/13/20,35
04/14/20,53
04/15/20,53
04/16/20,82
04/17/20,117
04/18/20,161
04/19/20,173
04/20/20,269
04/21/20,269
04/22/20,269
04/23/20,292
04/24/20,294
04/25/20,261
04/26/20,308
04/27/20,315
04/28/20,318
04/29/20,320
04/30/20,322
05/01/20,322
05/02/20,322
05/03/20,324
