,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,0,0,0,0.0,0.0,0.0
1/31/2020,0,0,0,0.0,0.0,0.0
2/1/2020,1,0,0,1.0,0.0,0.0
2/2/2020,1,0,0,0.0,0.0,0.0
2/3/2020,1,0,0,0.0,0.0,0.0
2/4/2020,1,0,0,0.0,0.0,0.0
2/5/2020,1,0,0,0.0,0.0,0.0
2/6/2020,1,0,0,0.0,0.0,0.0
2/7/2020,1,0,0,0.0,0.0,0.0
2/8/2020,1,0,0,0.0,0.0,0.0
2/9/2020,2,0,0,1.0,0.0,0.0
2/10/2020,2,0,0,0.0,0.0,0.0
2/11/2020,2,0,0,0.0,0.0,0.0
2/12/2020,2,0,0,0.0,0.0,0.0
2/13/2020,2,0,0,0.0,0.0,0.0
2/14/2020,2,0,0,0.0,0.0,0.0
2/15/2020,2,0,2,0.0,0.0,2.0
2/16/2020,2,0,2,0.0,0.0,0.0
2/17/2020,2,0,2,0.0,0.0,0.0
2/18/2020,2,0,2,0.0,0.0,0.0
2/19/2020,2,0,2,0.0,0.0,0.0
2/20/2020,2,0,2,0.0,0.0,0.0
2/21/2020,2,0,2,0.0,0.0,0.0
2/22/2020,2,0,2,0.0,0.0,0.0
2/23/2020,2,0,2,0.0,0.0,0.0
2/24/2020,2,0,2,0.0,0.0,0.0
2/25/2020,6,0,2,4.0,0.0,0.0
2/26/2020,13,0,2,7.0,0.0,0.0
2/27/2020,15,0,2,2.0,0.0,0.0
2/28/2020,32,0,2,17.0,0.0,0.0
2/29/2020,45,0,2,13.0,0.0,0.0
3/1/2020,84,0,2,39.0,0.0,0.0
3/2/2020,120,0,2,36.0,0.0,0.0
3/3/2020,165,1,2,45.0,1.0,0.0
3/4/2020,222,2,2,57.0,1.0,0.0
3/5/2020,259,3,2,37.0,1.0,0.0
3/6/2020,400,5,2,141.0,2.0,0.0
3/7/2020,500,10,30,100.0,5.0,28.0
3/8/2020,673,17,30,173.0,7.0,0.0
3/9/2020,1073,28,32,400.0,11.0,2.0
3/10/2020,1695,35,32,622.0,7.0,0.0
3/11/2020,2277,54,183,582.0,19.0,151.0
3/12/2020,2277,55,183,0.0,1.0,0.0
3/13/2020,5232,133,193,2955.0,78.0,10.0
3/14/2020,6391,195,517,1159.0,62.0,324.0
3/15/2020,7798,289,517,1407.0,94.0,0.0
3/16/2020,9942,342,530,2144.0,53.0,13.0
3/17/2020,11748,533,1028,1806.0,191.0,498.0
3/18/2020,13910,623,1081,2162.0,90.0,53.0
3/19/2020,17963,830,1107,4053.0,207.0,26.0
3/20/2020,20410,1043,1588,2447.0,213.0,481.0
3/21/2020,25374,1375,2125,4964.0,332.0,537.0
3/22/2020,28768,1772,2575,3394.0,397.0,450.0
3/23/2020,35136,2311,3355,6368.0,539.0,780.0
3/24/2020,39885,2808,3794,4749.0,497.0,439.0
3/25/2020,49515,3647,5367,9630.0,839.0,1573.0
3/26/2020,57786,4365,7015,8271.0,718.0,1648.0
3/27/2020,65719,5138,9357,7933.0,773.0,2342.0
3/28/2020,73235,5982,12285,7516.0,844.0,2928.0
3/29/2020,80110,6803,14709,6875.0,821.0,2424.0
3/30/2020,87956,7716,16780,7846.0,913.0,2071.0
3/31/2020,95923,8464,19259,7967.0,748.0,2479.0
4/1/2020,104118,9387,22647,8195.0,923.0,3388.0
4/2/2020,112065,10348,26743,7947.0,961.0,4096.0
4/3/2020,119199,11198,30513,7134.0,850.0,3770.0
