date,positive
04/13/20,10
04/14/20,17
04/15/20,17
04/16/20,22
04/17/20,33
04/18/20,54
04/19/20,77
04/20/20,146
04/21/20,146
04/22/20,146
04/23/20,179
04/24/20,180
04/25/20,181
04/26/20,183
04/27/20,191
04/28/20,194
04/29/20,197
04/30/20,200
05/01/20,201
05/02/20,201
05/03/20,201
