,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/20,1.0,0.0,0.0,,,
1/23/20,1.0,0.0,0.0,0.0,0.0,0.0
1/24/20,2.0,0.0,0.0,1.0,0.0,0.0
1/25/20,2.0,0.0,0.0,0.0,0.0,0.0
1/26/20,3.0,0.0,0.0,1.0,0.0,0.0
1/27/20,4.0,0.0,0.0,1.0,0.0,0.0
1/28/20,4.0,0.0,0.0,0.0,0.0,0.0
1/29/20,4.0,0.0,0.0,0.0,0.0,0.0
1/30/20,4.0,0.0,0.0,0.0,0.0,0.0
1/31/20,11.0,0.0,0.0,7.0,0.0,0.0
2/1/20,12.0,0.0,0.0,1.0,0.0,0.0
2/2/20,15.0,0.0,0.0,3.0,0.0,0.0
2/3/20,15.0,0.0,0.0,0.0,0.0,0.0
2/4/20,16.0,0.0,0.0,1.0,0.0,0.0
2/5/20,19.0,0.0,0.0,3.0,0.0,0.0
2/6/20,23.0,0.0,0.0,4.0,0.0,0.0
2/7/20,24.0,0.0,1.0,1.0,0.0,1.0
2/8/20,24.0,0.0,1.0,0.0,0.0,0.0
2/9/20,25.0,0.0,3.0,1.0,0.0,2.0
2/10/20,27.0,0.0,3.0,2.0,0.0,0.0
2/11/20,28.0,0.0,3.0,1.0,0.0,0.0
2/12/20,28.0,0.0,7.0,0.0,0.0,4.0
2/13/20,28.0,0.0,7.0,0.0,0.0,0.0
2/14/20,28.0,0.0,7.0,0.0,0.0,0.0
2/15/20,28.0,0.0,9.0,0.0,0.0,2.0
2/16/20,29.0,0.0,9.0,1.0,0.0,0.0
2/17/20,30.0,0.0,10.0,1.0,0.0,1.0
2/18/20,31.0,0.0,12.0,1.0,0.0,2.0
2/19/20,31.0,0.0,12.0,0.0,0.0,0.0
2/20/20,104.0,1.0,16.0,73.0,1.0,4.0
2/21/20,204.0,2.0,16.0,100.0,1.0,0.0
2/22/20,433.0,2.0,16.0,229.0,0.0,0.0
2/23/20,602.0,6.0,18.0,169.0,4.0,2.0
2/24/20,833.0,8.0,18.0,231.0,2.0,0.0
2/25/20,977.0,10.0,22.0,144.0,2.0,4.0
2/26/20,1261.0,12.0,22.0,284.0,2.0,0.0
2/27/20,1766.0,13.0,22.0,505.0,1.0,0.0
2/28/20,2337.0,13.0,22.0,571.0,0.0,0.0
2/29/20,3150.0,16.0,27.0,813.0,3.0,5.0
3/1/20,3736.0,17.0,30.0,586.0,1.0,3.0
3/2/20,4335.0,28.0,30.0,599.0,11.0,0.0
3/3/20,5186.0,28.0,30.0,851.0,0.0,0.0
3/4/20,5621.0,35.0,41.0,435.0,7.0,11.0
3/5/20,6088.0,35.0,41.0,467.0,0.0,0.0
3/6/20,6593.0,42.0,135.0,505.0,7.0,94.0
3/7/20,7041.0,44.0,135.0,448.0,2.0,0.0
3/8/20,7314.0,50.0,118.0,273.0,6.0,-17.0
3/9/20,7478.0,53.0,118.0,164.0,3.0,0.0
3/10/20,7513.0,54.0,247.0,35.0,1.0,129.0
3/11/20,7755.0,60.0,288.0,242.0,6.0,41.0
3/12/20,7869.0,66.0,333.0,114.0,6.0,45.0
3/13/20,7979.0,66.0,510.0,110.0,0.0,177.0
3/14/20,8086.0,72.0,510.0,107.0,6.0,0.0
3/15/20,8162.0,75.0,510.0,76.0,3.0,0.0
3/16/20,8236.0,75.0,1137.0,74.0,0.0,627.0
3/17/20,8320.0,81.0,1407.0,84.0,6.0,270.0
3/18/20,8413.0,84.0,1540.0,93.0,3.0,133.0
3/19/20,8565.0,91.0,1540.0,152.0,7.0,0.0
3/20/20,8652.0,94.0,1540.0,87.0,3.0,0.0
3/21/20,8799.0,102.0,1540.0,147.0,8.0,0.0
3/22/20,8897.0,104.0,2909.0,98.0,2.0,1369.0
3/23/20,8897.0,104.0,2909.0,0.0,0.0,0.0
