date,positive
04/13/20,144
04/14/20,164
04/15/20,214
04/16/20,255
04/17/20,289
04/18/20,309
04/19/20,386
04/20/20,387
04/21/20,469
04/22/20,508
04/23/20,532
04/24/20,566
04/25/20,594
04/26/20,625
04/27/20,699
04/28/20,849
04/29/20,863
04/30/20,923
05/01/20,966
05/02/20,987
05/03/20,1007
