,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,1,0,0,,,
1/23/2020,1,0,0,0.0,0.0,0.0
1/24/2020,2,0,0,1.0,0.0,0.0
1/25/2020,2,0,0,0.0,0.0,0.0
1/26/2020,5,0,0,3.0,0.0,0.0
1/27/2020,5,0,0,0.0,0.0,0.0
1/28/2020,5,0,0,0.0,0.0,0.0
1/29/2020,5,0,0,0.0,0.0,0.0
1/30/2020,5,0,0,0.0,0.0,0.0
1/31/2020,7,0,0,2.0,0.0,0.0
2/1/2020,8,0,0,1.0,0.0,0.0
2/2/2020,8,0,0,0.0,0.0,0.0
2/3/2020,11,0,0,3.0,0.0,0.0
2/4/2020,11,0,0,0.0,0.0,0.0
2/5/2020,11,0,0,0.0,0.0,0.0
2/6/2020,11,0,0,0.0,0.0,0.0
2/7/2020,11,0,0,0.0,0.0,0.0
2/8/2020,11,0,0,0.0,0.0,0.0
2/9/2020,11,0,3,0.0,0.0,3.0
2/10/2020,11,0,3,0.0,0.0,0.0
2/11/2020,12,0,3,1.0,0.0,0.0
2/12/2020,12,0,3,0.0,0.0,0.0
2/13/2020,13,0,3,1.0,0.0,0.0
2/14/2020,13,0,3,0.0,0.0,0.0
2/15/2020,13,0,3,0.0,0.0,0.0
2/16/2020,13,0,3,0.0,0.0,0.0
2/17/2020,13,0,3,0.0,0.0,0.0
2/18/2020,13,0,3,0.0,0.0,0.0
2/19/2020,13,0,3,0.0,0.0,0.0
2/20/2020,13,0,3,0.0,0.0,0.0
2/21/2020,15,0,5,2.0,0.0,2.0
2/22/2020,15,0,5,0.0,0.0,0.0
2/23/2020,15,0,5,0.0,0.0,0.0
2/24/2020,51,0,5,36.0,0.0,0.0
2/25/2020,51,0,6,0.0,0.0,1.0
2/26/2020,57,0,6,6.0,0.0,0.0
2/27/2020,58,0,6,1.0,0.0,0.0
2/28/2020,60,0,7,2.0,0.0,1.0
2/29/2020,68,1,7,8.0,1.0,0.0
3/1/2020,74,1,7,6.0,0.0,0.0
3/2/2020,98,6,7,24.0,5.0,0.0
3/3/2020,118,7,7,20.0,1.0,0.0
3/4/2020,149,11,7,31.0,4.0,0.0
3/5/2020,217,12,7,68.0,1.0,0.0
3/6/2020,262,14,7,45.0,2.0,0.0
3/7/2020,402,17,7,140.0,3.0,0.0
3/8/2020,518,21,7,116.0,4.0,0.0
3/9/2020,583,22,7,65.0,1.0,0.0
3/10/2020,959,28,8,376.0,6.0,1.0
3/11/2020,1281,36,8,322.0,8.0,0.0
3/12/2020,1663,40,12,382.0,4.0,4.0
3/13/2020,2179,47,12,516.0,7.0,0.0
3/14/2020,2727,54,12,548.0,7.0,0.0
3/15/2020,3499,63,12,772.0,9.0,0.0
3/16/2020,4632,85,17,1133.0,22.0,5.0
3/17/2020,6421,108,17,1789.0,23.0,0.0
3/18/2020,7783,118,0,1362.0,10.0,-17.0
3/19/2020,13677,200,0,5894.0,82.0,0.0
3/20/2020,19100,244,0,5423.0,44.0,0.0
3/21/2020,25489,307,0,6389.0,63.0,0.0
3/22/2020,33272,417,0,7783.0,110.0,0.0
3/23/2020,43667,552,0,10395.0,135.0,0.0
3/24/2020,53740,706,348,10073.0,154.0,348.0
3/25/2020,65778,942,361,12038.0,236.0,13.0
3/26/2020,83836,1209,681,18058.0,267.0,320.0
3/27/2020,101657,1581,869,17821.0,372.0,188.0
3/28/2020,121478,2026,1072,19821.0,445.0,203.0
3/29/2020,140886,2467,2665,19408.0,441.0,1593.0
3/30/2020,161807,2978,5644,20921.0,511.0,2979.0
3/31/2020,188172,3873,7024,26365.0,895.0,1380.0
4/1/2020,213372,4757,8474,25200.0,884.0,1450.0
4/2/2020,243453,5926,9001,30081.0,1169.0,527.0
4/3/2020,275586,7087,9707,32133.0,1161.0,706.0
4/4/2020,308853,8407,14652,33267.0,1320.0,4945.0
4/5/2020,337072,9619,17448,28219.0,1212.0,2796.0
4/6/2020,366667,10783,19581,29595.0,1164.0,2133.0
4/7/2020,396223,12722,21763,29556.0,1939.0,2182.0
4/8/2020,429052,14695,23559,32829.0,1973.0,1796.0
4/9/2020,461437,16478,25410,32385.0,1783.0,1851.0
4/10/2020,496535,18586,28790,35098.0,2108.0,3380.0
4/11/2020,526396,20462,31270,29861.0,1876.0,2480.0
4/12/2020,555313,22019,32988,28917.0,1557.0,1718.0
4/13/2020,580619,23528,43482,25306.0,1509.0,10494.0
4/14/2020,607670,25831,47763,27051.0,2303.0,4281.0
4/15/2020,636350,28325,52096,28680.0,2494.0,4333.0
4/16/2020,667801,32916,54703,31451.0,4591.0,2607.0
4/17/2020,699706,36773,58545,31905.0,3857.0,3842.0
4/18/2020,732197,38664,64840,32491.0,1891.0,6295.0
4/19/2020,759086,40661,70337,26889.0,1997.0,5497.0
4/20/2020,784326,42094,72329,25240.0,1433.0,1992.0
4/21/2020,811865,44444,75204,27539.0,2350.0,2875.0
4/22/2020,840220,46622,77366,28355.0,2178.0,2162.0
4/23/2020,869170,49954,80203,28950.0,3332.0,2837.0
4/24/2020,905333,51949,99079,36163.0,1995.0,18876.0
4/25/2020,938154,53755,100372,32821.0,1806.0,1293.0
4/26/2020,965783,54881,106988,27629.0,1126.0,6616.0
4/27/2020,988197,56259,111424,22414.0,1378.0,4436.0
