,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,0,0,0,0.0,0.0,0.0
1/31/2020,2,0,0,2.0,0.0,0.0
2/1/2020,2,0,0,0.0,0.0,0.0
2/2/2020,2,0,0,0.0,0.0,0.0
2/3/2020,2,0,0,0.0,0.0,0.0
2/4/2020,2,0,0,0.0,0.0,0.0
2/5/2020,2,0,0,0.0,0.0,0.0
2/6/2020,2,0,0,0.0,0.0,0.0
2/7/2020,3,0,0,1.0,0.0,0.0
2/8/2020,3,0,0,0.0,0.0,0.0
2/9/2020,3,0,0,0.0,0.0,0.0
2/10/2020,3,0,0,0.0,0.0,0.0
2/11/2020,3,0,0,0.0,0.0,0.0
2/12/2020,3,0,0,0.0,0.0,0.0
2/13/2020,3,0,0,0.0,0.0,0.0
2/14/2020,3,0,0,0.0,0.0,0.0
2/15/2020,3,0,0,0.0,0.0,0.0
2/16/2020,3,0,0,0.0,0.0,0.0
2/17/2020,3,0,0,0.0,0.0,0.0
2/18/2020,3,0,0,0.0,0.0,0.0
2/19/2020,3,0,0,0.0,0.0,0.0
2/20/2020,3,0,0,0.0,0.0,0.0
2/21/2020,20,1,0,17.0,1.0,0.0
2/22/2020,62,2,1,42.0,1.0,1.0
2/23/2020,155,3,2,93.0,1.0,1.0
2/24/2020,229,7,1,74.0,4.0,-1.0
2/25/2020,322,10,1,93.0,3.0,0.0
2/26/2020,453,12,3,131.0,2.0,2.0
2/27/2020,655,17,45,202.0,5.0,42.0
2/28/2020,888,21,46,233.0,4.0,1.0
2/29/2020,1128,29,46,240.0,8.0,0.0
3/1/2020,1694,34,83,566.0,5.0,37.0
3/2/2020,2036,52,149,342.0,18.0,66.0
3/3/2020,2502,79,160,466.0,27.0,11.0
3/4/2020,3089,107,276,587.0,28.0,116.0
3/5/2020,3858,148,414,769.0,41.0,138.0
3/6/2020,4636,197,523,778.0,49.0,109.0
3/7/2020,5883,233,589,1247.0,36.0,66.0
3/8/2020,7375,366,622,1492.0,133.0,33.0
3/9/2020,9172,463,724,1797.0,97.0,102.0
3/10/2020,10149,631,724,977.0,168.0,0.0
3/11/2020,12462,827,1045,2313.0,196.0,321.0
3/12/2020,12462,827,1045,0.0,0.0,0.0
3/13/2020,17660,1266,1439,5198.0,439.0,394.0
3/14/2020,21157,1441,1966,3497.0,175.0,527.0
3/15/2020,24747,1809,2335,3590.0,368.0,369.0
3/16/2020,27980,2158,2749,3233.0,349.0,414.0
3/17/2020,31506,2503,2941,3526.0,345.0,192.0
3/18/2020,35713,2978,4025,4207.0,475.0,1084.0
3/19/2020,41035,3405,4440,5322.0,427.0,415.0
3/20/2020,47021,4032,4440,5986.0,627.0,0.0
3/21/2020,53578,4825,6072,6557.0,793.0,1632.0
3/22/2020,59138,5476,7024,5560.0,651.0,952.0
3/23/2020,63927,6077,7432,4789.0,601.0,408.0
3/24/2020,69176,6820,8326,5249.0,743.0,894.0
3/25/2020,74386,7503,9362,5210.0,683.0,1036.0
3/26/2020,80589,8215,10361,6203.0,712.0,999.0
3/27/2020,86498,9134,10950,5909.0,919.0,589.0
3/28/2020,92472,10023,12384,5974.0,889.0,1434.0
3/29/2020,97689,10779,13030,5217.0,756.0,646.0
3/30/2020,101739,11591,14620,4050.0,812.0,1590.0
