division_code,dist_code,sub_dist_code,union_code,mah_code,rmo_1,node_hash,admin_unit_t1,area,total_household,pop_total,pop_in_house,pop_floating,pop_density,admin_unit_t3,rmo_3,num_general_household,household_1person,household_2person,household_3person,household_4person,household_5person,household_6person,household_7person,household_8+person,avg_household_size,admin_unit_t4,rmo_4,all_age_pop,0-4,5-9,10-14,15-19,20-24,25-29,30-49,50-59,60-64,65+
30,48,59,40,014 02,1,30485940014 021,Singa,,63,304,304,0,,Singa,1,63,3.2,9.5,14.3,12.7,23.8,19.0,12.7,4.8,4.8,Singa,1,304,17.4,21.4,8.2,4.9,5.9,8.9,20.4,5.3,2.3,5.3
30,48,59,40,056,1,304859400561,*Bagadia,,159,717,717,0,,*Bagadia,1,159,3.8,12.6,15.1,20.8,20.8,13.8,7.5,5.7,4.5,*Bagadia,1,717,16.9,16.7,11.4,6.6,7.3,7.1,19.5,6.0,2.6,5.9
30,48,59,40,056 01,1,30485940056 011,Nutan Bagadia,,26,113,113,0,,Nutan Bagadia,1,26,11.5,7.7,15.4,23.1,15.4,11.5,7.7,7.7,4.3,Nutan Bagadia,1,113,11.5,16.8,14.2,8.0,6.2,8.0,20.4,8.0,2.7,4.4
30,48,59,40,056 02,1,30485940056 021,Puratan Bagadia,,133,604,604,0,,Puratan Bagadia,1,133,2.3,13.5,15.0,20.3,21.8,14.3,7.5,5.3,4.5,Puratan Bagadia,1,604,17.9,16.7,10.9,6.3,7.5,7.0,19.4,5.6,2.6,6.1
30,48,59,40,070,1,304859400701,*Bajakpur,,206,1029,1029,0,,*Bajakpur,1,206,5.3,9.7,9.7,18.4,17.5,16.0,11.2,12.1,5.0,*Bajakpur,1,1029,17.6,15.1,10.0,6.2,8.3,9.4,19.8,5.3,1.9,6.3
30,48,59,40,196,1,304859401961,*Chandpur,,347,1737,1737,0,,*Chandpur,1,347,4.3,6.9,14.7,16.7,19.3,17.3,9.8,11.0,5.0,*Chandpur,1,1737,13.6,16.5,11.9,8.9,9.6,8.9,17.2,4.8,3.2,5.4
30,48,59,40,196 01,1,30485940196 011,Chandpur,,265,1349,1349,0,,Chandpur,1,265,2.3,6.4,15.1,15.5,20.4,18.5,10.9,10.9,5.1,Chandpur,1,1349,12.6,17.2,12.8,9.0,9.3,9.4,17.2,5.1,3.0,4.4
30,48,59,40,196 02,1,30485940196 021,Natun Chandpur,,82,388,388,0,,Natun Chandpur,1,82,11.0,8.5,13.4,20.7,15.9,13.4,6.1,11.0,4.7,Natun Chandpur,1,388,17.0,14.2,9.0,8.5,10.6,7.0,17.3,3.9,3.9,8.8
30,48,59,40,280,1,304859402801,*Daulatpur,,138,434,434,0,,*Daulatpur,1,138,36.2,17.4,8.0,10.9,7.2,9.4,5.1,5.8,3.1,*Daulatpur,1,434,13.8,14.7,9.0,7.1,8.3,9.9,21.0,6.9,3.0,6.2
30,48,59,40,350,1,304859403501,*Gopedighi,,1365,6532,6531,1,,*Gopedighi,1,1365,3.7,8.7,17.7,17.9,18.5,14.5,9.5,9.4,4.8,*Gopedighi,1,6532,14.4,16.6,11.7,7.8,7.6,7.8,21.2,5.4,2.7,4.9
30,48,59,40,350 01,1,30485940350 011,Gopedighi,,959,4685,4684,1,,Gopedighi,1,959,4.9,7.2,15.0,17.5,20.1,15.2,9.9,10.1,4.9,Gopedighi,1,4685,13.8,16.1,12.0,8.3,7.7,7.4,21.6,5.7,2.7,4.7
30,48,59,40,350 02,1,30485940350 021,Khasapur,,341,1592,1592,0,,Khasapur,1,341,0.9,11.1,22.0,20.2,15.5,11.7,9.7,8.8,4.7,Khasapur,1,1592,15.8,17.2,11.4,7.2,7.3,8.5,19.9,4.5,2.8,5.5
30,48,59,40,350 03,1,30485940350 031,Fkkusa,,65,255,255,0,,Fkkusa,1,65,0.0,18.5,35.4,12.3,10.8,18.5,3.1,1.5,3.9,Fkkusa,1,255,16.5,22.0,6.7,3.1,6.3,11.4,22.0,5.5,1.6,5.1
30,48,59,40,406,1,304859404061,*Hasanpur,,115,471,471,0,,*Hasanpur,1,115,13.9,18.3,13.0,10.4,16.5,9.6,10.4,7.8,4.1,*Hasanpur,1,471,21.4,14.6,7.9,7.2,8.3,8.3,18.3,6.2,2.1,5.7
30,48,59,40,700,1,304859407001,*Musuria,,892,4156,4156,0,,*Musuria,1,892,3.3,10.1,15.8,18.9,22.9,13.7,7.2,8.2,4.7,*Musuria,1,4156,15.8,17.6,11.4,6.6,6.1,9.4,20.4,5.7,2.6,4.5
30,48,59,40,700 01,1,30485940700 011,Shampur,,325,1508,1508,0,,Shampur,1,325,3.7,10.5,16.0,18.5,20.6,14.2,8.6,8.0,4.6,Shampur,1,1508,15.8,15.2,14.1,6.5,6.4,9.6,18.7,6.0,2.0,5.7
30,48,59,40,700 02,1,30485940700 021,Dholai,,179,858,858,0,,Dholai,1,179,6.7,6.7,15.6,17.3,17.9,16.8,7.8,11.2,4.8,Dholai,1,858,15.7,18.6,11.0,6.3,5.5,8.3,21.6,6.1,3.0,4.0
30,48,59,40,700 03,1,30485940700 031,Musuria,,192,881,881,0,,Musuria,1,192,2.6,9.9,16.1,17.7,28.6,12.5,6.3,6.3,4.6,Musuria,1,881,14.3,18.3,11.1,7.0,5.4,9.5,20.5,6.5,3.6,3.6
30,48,59,40,700 04,1,30485940700 041,Gopalpur,,82,412,412,0,,Gopalpur,1,82,0.0,14.6,9.8,14.6,31.7,13.4,3.7,12.2,5.0,Gopalpur,1,412,17.5,20.1,7.3,5.8,6.6,11.2,21.8,3.4,2.2,4.1
30,48,59,40,700 05,1,30485940700 051,Nutun Bagadia,,114,497,497,0,,Nutun Bagadia,1,114,0.0,11.4,19.3,28.1,21.1,9.6,6.1,4.4,4.4,Nutun Bagadia,1,497,17.5,19.7,8.0,7.2,6.8,9.1,21.7,4.6,1.8,3.4
30,48,59,40,882,1,304859408821,*Sail Dighi,,188,891,891,0,,*Sail Dighi,1,188,1.6,10.6,11.7,19.1,26.1,17.0,6.9,6.9,4.7,*Sail Dighi,1,891,14.6,17.1,8.0,4.9,12.2,11.1,20.0,5.2,3.0,3.9
30,48,59,40,896,1,304859408961,*Sharifpur,,407,2118,2118,0,,*Sharifpur,1,405,2.2,6.7,15.1,14.8,19.0,17.5,11.9,12.8,5.2,*Sharifpur,1,2118,16.2,17.5,12.7,6.1,7.2,8.2,19.9,5.1,2.6,4.5
30,48,59,54,,,30485954,Khatkhal Union Total,6106,2710,15139,15139,0,613,Khatkhal Union Total,,2709,3.8,6.8,10.6,15.1,17.8,15.5,11.5,18.9,5.6,Khatkhal Union Total,,15139,17.7,19.5,9.7,7.0,7.7,7.8,19.7,5.4,2.2,3.3
30,48,59,54,108,1,304859541081,*Barabaria (Santipur),,199,925,925,0,,*Barabaria (Santipur),1,199,20.6,6.0,11.1,10.6,17.1,12.6,9.0,13.1,4.6,*Barabaria (Santipur),1,925,14.5,17.6,8.1,8.9,8.9,8.4,21.3,4.4,3.8,4.1
30,48,59,54,175,1,304859541751,*Bhatia (Part),,583,3488,3488,0,,*Bhatia (Part),1,583,0.7,4.5,9.1,14.8,16.8,18.4,14.2,21.6,6.0,*Bhatia (Part),1,3488,16.5,19.6,11.0,6.6,7.4,7.2,20.7,6.3,1.7,3.0
30,48,59,54,175 01,1,30485954175 011,Kakua,,248,1498,1498,0,,Kakua,1,248,0.0,3.2,8.5,16.5,12.1,24.2,15.7,19.8,6.0,Kakua,1,1498,16.7,18.4,10.5,6.7,7.9,8.2,19.8,6.7,1.4,3.8
30,48,59,54,175 02,1,30485954175 021,Biswarikona,,194,1150,1150,0,,Biswarikona,1,194,1.0,5.7,9.8,12.4,21.1,13.4,11.3,25.3,5.9,Biswarikona,1,1150,16.3,19.0,12.7,7.1,8.2,7.3,19.7,5.1,2.1,2.4
30,48,59,54,175 03,1,30485954175 031,Biswarikona Nayahti,,129,761,761,0,,Biswarikona Nayahti,1,129,0.8,4.7,9.3,14.0,19.4,15.5,17.1,19.4,5.9,Biswarikona Nayahti,1,761,16.6,23.0,10.2,5.1,6.0,5.1,22.9,7.2,1.3,2.5
30,48,59,54,175 04,1,30485954175 041,Delhir Akara,,12,79,79,0,,Delhir Akara,1,12,8.3,8.3,8.3,25.0,16.7,8.3,0.0,25.0,6.6,Delhir Akara,1,79,12.7,19.0,3.8,12.7,0.0,6.3,30.4,8.9,5.1,1.3
30,48,59,54,217,1,304859542171,*Bil Sakni (Dalargaon),,146,760,760,0,,*Bil Sakni (Dalargaon),1,146,1.4,13.0,13.7,14.4,13.7,17.1,9.6,17.1,5.2,*Bil Sakni (Dalargaon),1,760,16.7,24.5,7.2,8.0,5.0,6.8,20.5,4.7,2.6,3.8
30,48,59,54,301,1,304859543011,*Chhatrish,,197,1161,1161,0,,*Chhatrish,1,197,3.0,5.6,11.2,12.2,17.8,14.7,12.2,23.4,5.9,*Chhatrish,1,1161,19.7,18.3,9.6,5.7,10.1,6.1,20.0,5.9,2.0,2.5
30,48,59,54,301 01,1,30485954301 011,Chhatrish,,81,522,522,0,,Chhatrish,1,81,1.2,3.7,8.6,12.3,11.1,18.5,16.0,28.4,6.4,Chhatrish,1,522,18.4,18.8,10.7,6.1,12.1,5.4,20.7,5.7,1.1,1.0
30,48,59,54,301 02,1,30485954301 021,Hashimpur,,116,639,639,0,,Hashimpur,1,116,4.3,6.9,12.9,12.1,22.4,12.1,9.5,19.8,5.5,Hashimpur,1,639,20.8,18.0,8.8,5.3,8.5,6.7,19.4,6.1,2.7,3.8
