Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriated[b]",Total infections,New cases,Total deaths,New deaths
4 Apr,17014 ,21908 ,3471 ,1211 ,354 ,2697 ,4279 ,5571 ,501 ,17885 ,3504 ,1265 ,2591 ,896 ,1559 ,1072 ,,85778,6082,1158,141
5 Apr,18614 ,23846 ,3613 ,1305 ,394 ,2945 ,4575 ,5712 ,523 ,18735 ,3663 ,1358 ,2741 ,919 ,1631 ,1140 ,,91714,5936,1342,184
6 Apr,19395 ,24974 ,3670 ,1345 ,397 ,2993 ,4674 ,5960 ,528 ,19384 ,3882 ,1483 ,2903 ,956 ,1671 ,1176 ,,95391,3677,1434,92
7 Apr,20141 ,26163 ,3845 ,1384 ,399 ,3059 ,4837 ,6200 ,531 ,20220 ,3992 ,1532 ,2997 ,987 ,1730 ,1208 ,,99225,3834,1607,173
8 Apr,20680 ,27564 ,4028 ,1472 ,424 ,3165 ,4965 ,6385 ,555 ,20929 ,4148 ,1637 ,3144 ,1020 ,1827 ,1285 ,,103228,4003,1861,254
9 Apr,21603 ,28827 ,4202 ,1578 ,445 ,3320 ,5242 ,6804 ,572 ,21961 ,4336 ,1693 ,3261 ,1075 ,1932 ,1351 ,,108202,4974,2107,246
10 Apr,22433 ,30363 ,4349 ,1691 ,454 ,3551 ,5694 ,7114 ,586 ,23028 ,4440 ,1854 ,3402 ,1121 ,2029 ,1416 ,,113525,5323,2373,266
11 Apr,23617 ,31453 ,4458 ,1764 ,469 ,3663 ,5808 ,7343 ,601 ,23644 ,4622 ,2016 ,3565 ,1135 ,2065 ,1435 ,,117658,4133,2544,171
12 Apr,24078 ,32282 ,4567 ,1857 ,480 ,3742 ,5859 ,7602 ,605 ,24267 ,4734 ,2058 ,3600 ,1166 ,2118 ,1464 ,,120479,2821,2673,129
13 Apr,24570 ,33015 ,4601 ,1880 ,486 ,3770 ,6114 ,7723 ,618 ,24883 ,4810 ,2079 ,3655 ,1193 ,2134 ,1485 ,,123016,2537,2799,126
14 Apr,25040 ,33569 ,4668 ,1916 ,492 ,3808 ,6183 ,7885 ,619 ,25300 ,4880 ,2112 ,3751 ,1207 ,2164 ,1504 ,,125098,2082,2969,170
15 Apr,25438 ,34294 ,4722 ,1950 ,500 ,3869 ,6347 ,8019 ,624 ,25835 ,5004 ,2145 ,3819 ,1223 ,2245 ,1550 ,,127584,2486,3254,285
16 Apr,25881 ,35142 ,4848 ,2058 ,507 ,3953 ,6470 ,8188 ,634 ,26383 ,5087 ,2201 ,3955 ,1248 ,2294 ,1601 ,,130450,2866,3569,315
17 Apr,26543 ,36027 ,4945 ,2120 ,556 ,4005 ,6705 ,8442 ,634 ,27030 ,5211 ,2254 ,4048 ,1279 ,2349 ,1682 ,,133830,3380,3868,299
18 Apr,27258 ,36881 ,5066 ,2161 ,567 ,4118 ,6916 ,8649 ,645 ,28006 ,5324 ,2289 ,4140 ,1315 ,2387 ,1717 ,,137439,3609,4110,242
19 Apr,27883 ,37407 ,5159 ,2221 ,585 ,4167 ,7108 ,8797 ,651 ,28471 ,5432 ,2303 ,4190 ,1350 ,2417 ,1756 ,,139897,2458,4294,184
20 Apr,28253 ,37849 ,5196 ,2238 ,604 ,4185 ,7177 ,8900 ,653 ,28971 ,5523 ,2314 ,4229 ,1369 ,2426 ,1785 ,,141672,1775,4404,110
21 Apr,28712 ,38310 ,5237 ,2275 ,609 ,4204 ,7231 ,9098 ,655 ,29389 ,5561 ,2328 ,4253 ,1383 ,2414 ,1798 ,,143457,1785,4598,194
22 Apr,28898 ,38814 ,5312 ,2389 ,624 ,4204 ,7380 ,9236 ,656 ,30185 ,5593 ,2367 ,4273 ,1395 ,2496 ,1872 ,,145694 ,2237 ,4879 ,281 
23 Apr,29443 ,39395 ,5324 ,2447 ,672 ,4286 ,7593 ,9391 ,659 ,30584 ,5643 ,2395 ,4327 ,1425 ,2530 ,1932 ,,148046,2352,5094,215
24 Apr,29792 ,39939 ,5459 ,2536 ,707 ,4358 ,7712 ,9544 ,661 ,31106 ,5731 ,2445 ,4377 ,1436 ,2557 ,2023 ,,150383,2337,5321,227
25 Apr,30169 ,40547 ,5525 ,2627 ,719 ,4400 ,7837 ,9691 ,667 ,31465 ,5767 ,2468 ,4406 ,1480 ,2612 ,2058 ,,152438,2055,5500,179
26 Apr,30761 ,40912 ,5600 ,2694 ,739 ,4429 ,7946 ,9785 ,673 ,31669 ,5835 ,2482 ,4428 ,1494 ,2630 ,2098 ,,154175,1737,5640,140
27 Apr,31043 ,41070 ,5638 ,2721 ,754 ,4475 ,7979 ,9847 ,674 ,31879 ,5879 ,2503 ,4458 ,1515 ,2638 ,2120 ,,155193,1018,5750,110
28 Apr,31196 ,41406 ,5669 ,2747 ,759 ,4505 ,8026 ,9926 ,675 ,32184 ,5928 ,2509 ,4490 ,1520 ,2653 ,2144 ,,156337,1144,5913,163
