Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriated[b]",Total infections,New cases,Total deaths,New deaths
24 Feb,,,,,,,,,,,,,,,,,,,,,
25 Feb,,,,,,,,,,,,,,,,,,,,,
26 Feb,,,,,,,,,,,,,,,,,,,,,
27 Feb,,,,,,,,,,,,,,,,,,,,,
28 Feb,,,,,,,,,,,,,,,,,,,,,
29 Feb,,,,,,,,,,,,,,,,,,,,,
1 Mar,,,,,,,,,,,,,,,,,,,,,
2 Mar,,,,,,,,,,,,,,,,,,,,,
3 Mar,,,,,,,,,,,,,,,,,,,,,
4 Mar,,,,,,,,,,,,,,,,,,,,,
5 Mar,,,,,,,,,,,,,,,,,,,,,
6 Mar,,,,,,,,,,,,,,,,,,,,,
7 Mar,,,,,,,,,,,,,,,,,,,,,
8 Mar,,,,,,,,,,,,,,,,,,,,,
9 Mar,,,,,,,,,,2,,,,,,,,,,,
10 Mar,,,,,,,,,,2,,,,,,,,,,,
11 Mar,,,,,,,,,,3,,,,,,,,,,,
12 Mar,1,1,,,,,,,,3,,,,,,,,,,,
13 Mar,1,1,,,,,,,,3,,,,,,,,,,,
14 Mar,2,1,,,,,,,,5,,,,,,,,,,,
15 Mar,3,4,,,,,,,,5,,,,,,,,,,,
16 Mar,3,5,,,,,,,,5,,,,,,,,,,,
17 Mar,2,4,,,,,,,,6,,,,,,,,,,,
18 Mar,2,4,,,,,,,,6,,,,,,,,,,,
19 Mar,6,8,,,,,,,,6,,,,,,,,,,,
20 Mar,10,12,,,,,1,,,6,1,,,,1,,,,,,
21 Mar,16,19,1,,,,2,,,6,1,,,,1,,,,,,
22 Mar,21,21,1,,,,2,1,,6,2,,,,1,,,,,,
23 Mar,21,26,1,,,,3,4,,28,2,,,,1,,,,,,
24 Mar,30,30,1,,,,4,6,,33,5,1,1,,2,1,,,,,
25 Mar,37,37,2,1,,,4,7,,43,5,2,6,,3,1,,,,,
26 Mar,56,47,4,1,1,,6,8,,53,6,2,7,1,3,1,,,,,
27 Mar,70,55,8,1,1,2,7,10,,72,8,2,7,2,4,4,,,,,
28 Mar,101,77,8,1,2,2,9,12,,80,11,2,9,2,4,5,,,,,
29 Mar,101,107,9,1,2,4,9,21,1,98,12,2,9,2,6,5,,,,,
30 Mar,119,127,11,2,2,5,13,26,1,101,18,7,9,2,7,5,,,,,
31 Mar,165,162,13,2,4,9,17,34,1,117,19,7,12,6,9,6,,,,,
1 Apr,197,225,16,4,5,14,21,42,3,134,23,8,17,7,10,6,,,,,
2 Apr,241,268,19,7,6,14,27,45,3,161,26,11,18,8,11,7,,,,,
3 Apr,285,307,20,9,6,16,33,65,4,178,26,12,21,11,15,9,,,,,
4 Apr,316,349,22,12,6,16,42,85,5,200,29,14,24,11,17,10,,,,,
5 Apr,367,396,24,17,6,19,56,89,5,245,32,14,32,12,18,10,,,,,
6 Apr,387,437,26,19,8,19,61,92,6,255,32,14,34,12,20,12,,,,,
7 Apr,433,481,28,20,9,20,73,111,8,282,34,16,38,12,24,18,,,,,
8 Apr,464,564,32,22,10,23,84,121,11,348,45,23,50,16,28,20,,,,,
9 Apr,519,635,37,30,11,44,100,141,11,384,50,23,52,16,34,20,,,,,
10 Apr,570,703,42,37,13,53,111,161,11,446,51,36,59,18,38,24,,,,,
11 Apr,622,747,46,37,15,56,120,171,11,472,59,41,65,18,39,25,,,,,
12 Apr,649,786,50,38,15,56,123,189,11,495,64,43,67,21,41,25,,,,,
13 Apr,677,820,51,38,17,56,135,201,11,518,68,44,68,24,44,27,,,,,
14 Apr,711,872,56,40,20,59,147,211,11,545,70,52,70,25,49,31,,,,,
15 Apr,767,954,62,42,21,67,173,224,11,607,77,58,73,26,54,38,,,,,
16 Apr,802,1049,74,54,21,80,187,248,13,663,87,71,94,26,55,45,,,,,
17 Apr,872,1137,84,60,22,84,197,274,13,726,92,76,95,28,59,49,,,,,
18 Apr,919,1198,91,62,24,90,212,281,14,791,99,86,103,29,61,50,,,,,
19 Apr,968,1256,92,66,25,91,230,288,15,814,106,91,107,30,62,53,,,,,
20 Apr,982,1286,94,66,25,91,240,291,15,857,107,91,109,30,67,53,,,,,
21 Apr,1031,1336,97,67,25,91,251,306,15,896,116,93,117,32,70,55,,,,,
22 Apr,1063,1424,105,74,26,91,265,328,15,964,122,97,122,33,79,71,,,,,
23 Apr,1113,1476,105,84,27,113,286,340,15,999,131,99,127,34,84,61,,,,,
24 Apr,1153,1525,112,90,27,122,296,364,16,1052,136,105,135,35,88,65,,,,,
25 Apr,1189,1566,113,97,27,139,305,377,16,1084,138,107,141,35,95,71,,,,,
26 Apr,1237,1596,123,100,27,140,315,384,16,1096,147,107,147,36,96,73,,,,,
27 Apr,1249,1621,125,100,27,142,320,391,16,1131,152,121,147,36,98,74,,,,,
28 Apr,1269,1681,127,106,27,142,333,394,17,1171,157,123,148,39,101,78,,,,,
