date,ML,Low_90,High_90,Low_50,High_50
2020-03-01,2.88,0.77,4.61,1.93,3.54
2020-03-02,3.46,2.07,4.63,2.85,3.9
2020-03-03,3.68,2.69,4.61,3.23,4.0200000000000005
2020-03-04,3.39,2.5300000000000002,4.12,3.02,3.67
2020-03-05,3.15,2.45,3.83,2.82,3.39
2020-03-06,2.61,1.92,3.19,2.31,2.83
2020-03-07,2.23,1.6,2.8000000000000003,1.9100000000000001,2.41
2020-03-08,2.15,1.53,2.68,1.8900000000000001,2.36
2020-03-09,1.85,1.29,2.39,1.56,2.02
2020-03-10,3.1,2.56,3.5700000000000003,2.83,3.25
2020-03-11,3.31,2.84,3.71,3.08,3.44
2020-03-12,3.27,2.86,3.62,3.1,3.41
2020-03-13,3.0,2.66,3.33,2.82,3.1
2020-03-14,2.67,2.35,2.96,2.54,2.79
2020-03-15,2.64,2.34,2.9,2.5,2.73
2020-03-16,2.59,2.31,2.82,2.45,2.66
2020-03-17,2.6,2.35,2.81,2.48,2.67
2020-03-18,2.2600000000000002,2.04,2.46,2.13,2.31
2020-03-19,1.81,1.61,2.0100000000000002,1.7,1.87
2020-03-20,1.55,1.34,1.73,1.45,1.61
2020-03-21,1.31,1.11,1.49,1.2,1.36
2020-03-22,1.28,1.07,1.45,1.16,1.32
2020-03-23,1.68,1.49,1.85,1.58,1.73
2020-03-24,1.8800000000000001,1.69,2.0300000000000002,1.79,1.93
2020-03-25,2.07,1.8900000000000001,2.21,1.99,2.12
2020-03-26,1.71,1.55,1.85,1.61,1.74
2020-03-27,1.3,1.1300000000000001,1.43,1.24,1.36
2020-03-28,0.98,0.81,1.11,0.88,1.01
2020-03-29,0.8,0.64,0.9400000000000001,0.7000000000000001,0.8300000000000001
2020-03-30,0.8300000000000001,0.65,0.96,0.73,0.86
2020-03-31,1.07,0.91,1.21,0.97,1.1
2020-04-01,1.17,1.01,1.31,1.07,1.2
2020-04-02,1.11,0.9500000000000001,1.25,1.01,1.1400000000000001
2020-04-03,0.72,0.5700000000000001,0.87,0.63,0.76
2020-04-04,0.46,0.28,0.6,0.38,0.51
2020-04-05,0.43,0.25,0.58,0.33,0.47000000000000003
2020-04-06,0.61,0.42,0.76,0.52,0.66
2020-04-07,0.9,0.71,1.05,0.81,0.9500000000000001
2020-04-08,0.96,0.77,1.11,0.86,1.0
2020-04-09,0.78,0.6,0.9400000000000001,0.7000000000000001,0.84
2020-04-10,0.43,0.23,0.59,0.33,0.48
2020-04-11,0.0,0.0,0.26,0.0,0.07
2020-04-12,0.0,0.0,0.27,0.0,0.07
2020-04-13,0.26,0.02,0.43,0.16,0.33
2020-04-14,0.9,0.67,1.1,0.78,0.96
2020-04-15,1.19,0.9500000000000001,1.3800000000000001,1.07,1.25
2020-04-16,1.11,0.89,1.31,0.98,1.16
2020-04-17,0.88,0.64,1.07,0.75,0.93
2020-04-18,0.49,0.24,0.68,0.38,0.56
2020-04-19,0.17,0.0,0.37,0.04,0.21
2020-04-20,0.43,0.16,0.64,0.29,0.49
2020-04-21,0.66,0.4,0.89,0.55,0.75
2020-04-22,1.06,0.79,1.28,0.9400000000000001,1.1400000000000001
2020-04-23,0.9400000000000001,0.67,1.16,0.8200000000000001,1.02
2020-04-24,0.59,0.32,0.8200000000000001,0.45,0.66
2020-04-25,0.35000000000000003,0.07,0.58,0.23,0.44
2020-04-26,0.16,0.0,0.4,0.02,0.21
2020-04-27,0.37,0.07,0.62,0.23,0.46
2020-04-28,0.73,0.42,1.0,0.58,0.8200000000000001
2020-04-29,0.88,0.58,1.16,0.73,0.97
2020-04-30,0.73,0.42,1.01,0.56,0.81
2020-05-01,0.39,0.06,0.65,0.22,0.47000000000000003
2020-05-02,0.12,0.0,0.43,0.0,0.19
2020-05-03,0.16,0.0,0.46,0.02,0.23
2020-05-04,0.67,0.29,0.98,0.47000000000000003,0.76
2020-05-05,1.32,0.9500000000000001,1.6300000000000001,1.1400000000000001,1.42
2020-05-06,1.58,1.23,1.8800000000000001,1.4000000000000001,1.67
2020-05-07,1.6,1.28,1.9000000000000001,1.43,1.69
2020-05-08,1.52,1.18,1.79,1.36,1.61
