date,ML,Low_90,High_90,Low_50,High_50
2020-03-03,2.2800000000000002,0.34,3.87,1.4000000000000001,2.92
2020-03-04,1.8900000000000001,0.49,3.09,1.25,2.34
2020-03-05,1.75,0.5700000000000001,2.74,1.2,2.1
2020-03-06,1.71,0.6900000000000001,2.59,1.26,2.04
2020-03-07,1.98,1.11,2.79,1.59,2.2800000000000002
2020-03-08,2.25,1.47,2.97,1.8800000000000001,2.5
2020-03-09,2.47,1.74,3.09,2.18,2.73
2020-03-10,2.58,1.94,3.15,2.27,2.77
2020-03-11,2.52,1.94,3.04,2.29,2.74
2020-03-12,2.34,1.8,2.82,2.09,2.5100000000000002
2020-03-13,2.16,1.6300000000000001,2.6,1.9100000000000001,2.31
2020-03-14,2.04,1.55,2.47,1.81,2.19
2020-03-15,2.0100000000000002,1.52,2.41,1.77,2.14
2020-03-16,2.06,1.6300000000000001,2.47,1.84,2.19
2020-03-17,2.2,1.77,2.57,1.99,2.32
2020-03-18,2.23,1.83,2.58,2.04,2.35
2020-03-19,2.09,1.71,2.42,1.92,2.21
2020-03-20,1.87,1.51,2.19,1.7,1.98
2020-03-21,1.8,1.44,2.1,1.6400000000000001,1.9100000000000001
2020-03-22,1.76,1.41,2.05,1.61,1.87
2020-03-23,1.8,1.47,2.08,1.6500000000000001,1.9000000000000001
2020-03-24,1.81,1.49,2.08,1.67,1.9100000000000001
2020-03-25,1.7,1.3900000000000001,1.96,1.53,1.77
2020-03-26,1.45,1.17,1.72,1.3,1.53
2020-03-27,1.1500000000000001,0.85,1.4000000000000001,0.99,1.22
2020-03-28,0.91,0.6,1.16,0.77,1.0
2020-03-29,0.86,0.55,1.12,0.6900000000000001,0.93
2020-03-30,0.9400000000000001,0.64,1.21,0.78,1.02
2020-03-31,1.11,0.79,1.36,0.9400000000000001,1.18
2020-04-01,1.24,0.93,1.49,1.1,1.33
2020-04-02,1.22,0.92,1.47,1.07,1.3
2020-04-03,1.05,0.74,1.29,0.89,1.12
2020-04-04,0.89,0.6,1.1500000000000001,0.74,0.97
2020-04-05,0.92,0.61,1.17,0.78,1.01
2020-04-06,1.07,0.76,1.32,0.92,1.1500000000000001
2020-04-07,1.27,0.97,1.52,1.11,1.34
2020-04-08,1.37,1.09,1.62,1.23,1.45
2020-04-09,1.26,0.96,1.49,1.11,1.33
2020-04-10,0.98,0.6900000000000001,1.22,0.8300000000000001,1.05
2020-04-11,0.65,0.35000000000000003,0.89,0.52,0.74
2020-04-12,0.49,0.18,0.74,0.35000000000000003,0.58
2020-04-13,0.6,0.3,0.87,0.44,0.68
2020-04-14,0.9,0.61,1.18,0.74,0.98
2020-04-15,1.19,0.87,1.44,1.06,1.29
2020-04-16,1.2,0.91,1.46,1.05,1.28
2020-04-17,0.97,0.68,1.23,0.8200000000000001,1.05
2020-04-18,0.66,0.35000000000000003,0.92,0.54,0.77
2020-04-19,0.46,0.15,0.73,0.32,0.56
2020-04-20,0.46,0.14,0.74,0.3,0.55
2020-04-21,0.6,0.26,0.88,0.42,0.68
2020-04-22,0.77,0.45,1.07,0.6,0.86
2020-04-23,0.76,0.41000000000000003,1.04,0.59,0.85
2020-04-24,0.48,0.14,0.77,0.34,0.6
2020-04-25,0.17,0.0,0.47000000000000003,0.02,0.24
2020-04-26,0.0,0.0,0.37,0.0,0.14
2020-04-27,0.14,0.0,0.44,0.0,0.2
2020-04-28,0.41000000000000003,0.05,0.73,0.23,0.52
2020-04-29,0.74,0.35000000000000003,1.11,0.53,0.85
2020-04-30,0.86,0.46,1.22,0.64,0.96
2020-05-01,0.81,0.42,1.18,0.6,0.92
2020-05-02,0.54,0.13,0.89,0.34,0.66
2020-05-03,0.35000000000000003,0.0,0.6900000000000001,0.15,0.46
2020-05-04,0.34,0.0,0.6900000000000001,0.15,0.46
2020-05-05,0.51,0.08,0.89,0.28,0.63
2020-05-06,0.76,0.28,1.1500000000000001,0.53,0.89
2020-05-07,0.86,0.41000000000000003,1.27,0.62,0.98
2020-05-08,0.76,0.3,1.16,0.52,0.88
2020-05-09,0.63,0.16,1.02,0.4,0.76
2020-05-10,0.5700000000000001,0.12,0.98,0.33,0.7000000000000001
2020-05-11,0.59,0.14,1.02,0.34,0.72
2020-05-12,0.6900000000000001,0.19,1.11,0.49,0.87
2020-05-13,0.79,0.31,1.24,0.54,0.93
2020-05-14,0.78,0.31,1.24,0.53,0.92
2020-05-15,0.63,0.14,1.06,0.38,0.77
2020-05-16,0.49,0.03,0.9,0.22,0.61
2020-05-17,0.52,0.03,0.9400000000000001,0.26,0.66
2020-05-18,0.76,0.22,1.22,0.49,0.91
2020-05-19,1.02,0.46,1.47,0.8,1.21
2020-05-20,1.22,0.7000000000000001,1.68,1.0,1.4000000000000001
2020-05-21,1.23,0.75,1.7,1.02,1.41
2020-05-22,1.08,0.6,1.54,0.84,1.23
2020-05-23,0.9,0.39,1.34,0.67,1.06
2020-05-24,0.75,0.23,1.19,0.5,0.9
2020-05-25,0.76,0.23,1.21,0.49,0.9
2020-05-26,0.8,0.25,1.25,0.5700000000000001,0.98
2020-05-27,0.87,0.36,1.36,0.6,1.02
2020-05-28,0.9500000000000001,0.4,1.41,0.74,1.1500000000000001
