date,ML,Low_90,High_90,Low_50,High_50
2020-02-22,4.23,2.41,5.82,3.43,4.83
2020-02-23,3.8000000000000003,2.62,4.82,3.31,4.21
2020-02-24,3.5,2.6,4.2700000000000005,3.0700000000000003,3.7600000000000002
2020-02-25,3.22,2.48,3.85,2.91,3.47
2020-02-26,2.99,2.37,3.5500000000000003,2.68,3.17
2020-02-27,3.06,2.52,3.56,2.8000000000000003,3.23
2020-02-28,2.9,2.43,3.36,2.65,3.04
2020-02-29,2.71,2.24,3.1,2.5100000000000002,2.86
2020-03-01,2.5100000000000002,2.07,2.87,2.3000000000000003,2.63
2020-03-02,2.35,1.94,2.69,2.15,2.46
2020-03-03,2.21,1.83,2.54,2.05,2.34
2020-03-04,2.29,1.92,2.59,2.1,2.38
2020-03-05,2.37,2.05,2.67,2.2,2.46
2020-03-06,2.52,2.2,2.7800000000000002,2.36,2.6
2020-03-07,2.24,1.95,2.49,2.11,2.33
2020-03-08,2.17,1.8900000000000001,2.4,2.04,2.25
2020-03-09,1.51,1.26,1.75,1.36,1.57
2020-03-10,1.99,1.72,2.2,1.85,2.05
2020-03-11,2.14,1.92,2.36,2.0100000000000002,2.2
2020-03-12,2.36,2.13,2.54,2.25,2.42
2020-03-13,2.2600000000000002,2.05,2.43,2.15,2.31
2020-03-14,2.0,1.8,2.16,1.9000000000000001,2.05
2020-03-15,1.59,1.4000000000000001,1.75,1.48,1.6300000000000001
2020-03-16,1.59,1.4000000000000001,1.74,1.5,1.6400000000000001
2020-03-17,1.42,1.23,1.56,1.32,1.46
2020-03-18,1.75,1.57,1.8900000000000001,1.67,1.8
2020-03-19,1.76,1.59,1.8900000000000001,1.6600000000000001,1.79
2020-03-20,1.56,1.4000000000000001,1.69,1.48,1.6
2020-03-21,1.28,1.12,1.41,1.2,1.32
2020-03-22,1.01,0.85,1.1400000000000001,0.93,1.05
2020-03-23,0.91,0.75,1.04,0.8300000000000001,0.9500000000000001
2020-03-24,0.9500000000000001,0.79,1.08,0.87,0.99
2020-03-25,1.06,0.9,1.19,0.98,1.1
2020-03-26,1.1300000000000001,0.96,1.25,1.05,1.17
2020-03-27,1.0,0.84,1.1300000000000001,0.92,1.04
2020-03-28,0.78,0.62,0.91,0.7000000000000001,0.8200000000000001
2020-03-29,0.64,0.47000000000000003,0.77,0.54,0.67
2020-03-30,0.56,0.39,0.7000000000000001,0.47000000000000003,0.6
2020-03-31,0.68,0.51,0.8200000000000001,0.59,0.72
2020-04-01,0.86,0.68,1.0,0.77,0.9
2020-04-02,0.99,0.8300000000000001,1.1400000000000001,0.9,1.03
2020-04-03,0.98,0.8200000000000001,1.1300000000000001,0.89,1.02
2020-04-04,0.79,0.61,0.93,0.71,0.84
2020-04-05,0.64,0.46,0.79,0.54,0.68
2020-04-06,0.65,0.47000000000000003,0.8,0.55,0.6900000000000001
2020-04-07,0.75,0.56,0.9,0.66,0.8
2020-04-08,0.99,0.8,1.1400000000000001,0.89,1.03
2020-04-09,1.16,0.99,1.32,1.07,1.21
2020-04-10,1.1400000000000001,0.96,1.29,1.04,1.18
2020-04-11,0.98,0.8,1.1300000000000001,0.88,1.02
2020-04-12,0.68,0.49,0.8300000000000001,0.59,0.73
2020-04-13,0.58,0.38,0.73,0.47000000000000003,0.62
2020-04-14,0.63,0.42,0.78,0.52,0.67
2020-04-15,0.77,0.5700000000000001,0.93,0.67,0.8200000000000001
2020-04-16,0.96,0.76,1.12,0.86,1.01
2020-04-17,0.96,0.76,1.12,0.86,1.01
2020-04-18,0.85,0.65,1.01,0.75,0.9
2020-04-19,0.75,0.55,0.92,0.67,0.8200000000000001
2020-04-20,0.62,0.4,0.78,0.5,0.66
2020-04-21,0.66,0.43,0.8200000000000001,0.55,0.71
