date,ML,Low_90,High_90,Low_50,High_50
2020-03-02,2.47,0.54,4.11,1.6300000000000001,3.15
2020-03-03,2.67,1.33,3.89,2.09,3.14
2020-03-04,2.67,1.58,3.62,2.17,3.0100000000000002
2020-03-05,2.73,1.82,3.56,2.29,3.0100000000000002
2020-03-06,3.24,2.44,3.95,2.89,3.5100000000000002
2020-03-07,3.7600000000000002,3.08,4.36,3.43,3.96
2020-03-08,3.7600000000000002,3.2,4.28,3.47,3.92
2020-03-09,2.91,2.39,3.36,2.66,3.06
2020-03-10,4.04,3.59,4.43,3.81,4.16
2020-03-11,3.49,3.12,3.83,3.29,3.59
2020-03-12,3.11,2.7800000000000002,3.41,2.95,3.21
2020-03-13,2.75,2.46,3.0300000000000002,2.59,2.83
2020-03-14,2.19,1.8900000000000001,2.43,2.05,2.27
2020-03-15,1.84,1.57,2.08,1.72,1.93
2020-03-16,2.07,1.81,2.29,1.94,2.14
2020-03-17,1.6600000000000001,1.41,1.87,1.54,1.73
2020-03-18,2.24,2.0100000000000002,2.44,2.12,2.3000000000000003
2020-03-19,2.0100000000000002,1.79,2.19,1.8900000000000001,2.06
2020-03-20,2.1,1.9000000000000001,2.27,1.98,2.14
2020-03-21,1.92,1.73,2.08,1.81,1.96
2020-03-22,2.19,2.0,2.33,2.08,2.22
2020-03-23,2.08,1.92,2.22,1.98,2.11
2020-03-24,2.06,1.9100000000000001,2.19,1.98,2.1
2020-03-25,1.73,1.57,1.84,1.6600000000000001,1.77
2020-03-26,1.46,1.31,1.57,1.3800000000000001,1.49
2020-03-27,1.11,0.96,1.22,1.03,1.1400000000000001
2020-03-28,1.02,0.88,1.1400000000000001,0.9400000000000001,1.05
2020-03-29,0.88,0.74,1.0,0.8,0.91
2020-03-30,1.03,0.89,1.1500000000000001,0.9500000000000001,1.06
2020-03-31,1.05,0.9,1.16,0.97,1.08
2020-04-01,0.99,0.85,1.11,0.91,1.02
2020-04-02,0.8200000000000001,0.68,0.9400000000000001,0.74,0.85
2020-04-03,0.59,0.44,0.71,0.52,0.63
2020-04-04,0.46,0.31,0.59,0.37,0.49
2020-04-05,0.49,0.33,0.62,0.41000000000000003,0.53
2020-04-06,0.56,0.39,0.6900000000000001,0.46,0.59
2020-04-07,0.72,0.55,0.86,0.63,0.76
2020-04-08,0.79,0.62,0.93,0.7000000000000001,0.8300000000000001
2020-04-09,0.76,0.6,0.91,0.68,0.81
2020-04-10,0.59,0.42,0.74,0.48,0.62
2020-04-11,0.33,0.13,0.47000000000000003,0.23,0.37
2020-04-12,0.38,0.19,0.54,0.27,0.42
2020-04-13,0.97,0.78,1.1300000000000001,0.86,1.01
2020-04-14,1.41,1.23,1.57,1.33,1.47
2020-04-15,1.27,1.1,1.43,1.18,1.32
2020-04-16,1.49,1.32,1.6400000000000001,1.3800000000000001,1.52
2020-04-17,0.85,0.67,1.0,0.75,0.89
2020-04-18,0.62,0.43,0.77,0.53,0.67
2020-04-19,0.41000000000000003,0.21,0.56,0.3,0.45
2020-04-20,0.55,0.36,0.72,0.45,0.6
2020-04-21,1.27,1.09,1.44,1.16,1.31
2020-04-22,1.6300000000000001,1.44,1.78,1.54,1.68
2020-04-23,1.11,0.91,1.25,1.01,1.1500000000000001
2020-04-24,1.1,0.93,1.26,1.0,1.1400000000000001
2020-04-25,0.65,0.47000000000000003,0.81,0.5700000000000001,0.71
2020-04-26,0.42,0.21,0.5700000000000001,0.31,0.46
2020-04-27,0.3,0.1,0.47000000000000003,0.18,0.34
