date,area_in_dhaka_city_bangla,number_of_cases
"May 18, 2020",গেন্ডারিয়া,82
"May 18, 2020",বংশাল,84
"May 18, 2020",বাড্ডা,101
"May 19, 2020",মোহাম্মদপুর,224
"May 19, 2020",বাবু বাজার,126
"May 19, 2020",উত্তরা,162
"May 19, 2020",বংশাল,85
"May 19, 2020",তেজগাঁও,153
"May 19, 2020",বাড্ডা,108
"May 19, 2020",রাজারবাগ,207
"May 19, 2020",রামপুরা,64
"May 19, 2020",মিরপুর,109
"May 19, 2020",মালিবাগ,119
"May 19, 2020",মগবাজার,151
"May 19, 2020",লালবাগ,126
"May 19, 2020",কাকরাইল,298
"May 19, 2020",খিলগাঁও,98
"May 19, 2020",যাত্রাবাড়ী,274
"May 19, 2020",গুলশান,75
"May 19, 2020",মহাখালী,259
"May 19, 2020",ধানমন্ডি,116
"May 19, 2020",মুগদা,221
"May 19, 2020",গেন্ডারিয়া,87
"May 20, 2020",বাবু বাজার,130
"May 20, 2020",বাড্ডা,113
"May 20, 2020",মিরপুর,129
"May 20, 2020",রামপুরা,69
"May 20, 2020",উত্তরা,171
"May 20, 2020",মুগদা,226
"May 20, 2020",রাজারবাগ,208
"May 20, 2020",মগবাজার,164
"May 20, 2020",মোহাম্মদপুর,235
"May 20, 2020",মালিবাগ,120
"May 20, 2020",লালবাগ,130
"May 20, 2020",তেজগাঁও,155
"May 20, 2020",মহাখালী,272
"May 20, 2020",খিলগাঁও,99
"May 20, 2020",কাকরাইল,298
"May 20, 2020",যাত্রাবাড়ী,280
"May 20, 2020",গেন্ডারিয়া,92
"May 20, 2020",গুলশান,77
"May 20, 2020",ধানমন্ডি,125
"May 20, 2020",বংশাল,86
"May 22, 2020",কাকরাইল,298
"May 22, 2020",উত্তরা,192
"May 22, 2020",বংশাল,94
"May 22, 2020",রামপুরা,78
"May 22, 2020",রাজারবাগ,211
"May 22, 2020",বাড্ডা,116
"May 22, 2020",মহাখালী,301
"May 22, 2020",মিরপুর,162
"May 22, 2020",মোহাম্মদপুর,253
"May 22, 2020",খিলগাঁও,118
"May 22, 2020",মালিবাগ,121
"May 22, 2020",বাবু বাজার,136
"May 22, 2020",লালবাগ,146
"May 22, 2020",তেজগাঁও,159
"May 22, 2020",যাত্রাবাড়ী,294
"May 22, 2020",গুলশান,81
"May 22, 2020",মুগদা,264
"May 22, 2020",মগবাজার,176
"May 22, 2020",গেন্ডারিয়া,99
"May 22, 2020",ধানমন্ডি,135
"May 23, 2020",বংশাল,99
"May 23, 2020",বাড্ডা,117
"May 23, 2020",ধানমন্ডি,140
"May 23, 2020",বাবু বাজার,143
"May 23, 2020",গেন্ডারিয়া,105
"May 23, 2020",উত্তরা,198
"May 23, 2020",গুলশান,83
"May 23, 2020",রামপুরা,84
"May 23, 2020",রাজারবাগ,212
"May 23, 2020",মুগদা,268
"May 23, 2020",তেজগাঁও,166
"May 23, 2020",মোহাম্মদপুর,257
"May 23, 2020",মহাখালী,308
"May 23, 2020",মগবাজার,183
"May 23, 2020",মিরপুর,168
"May 23, 2020",মালিবাগ,124
"May 23, 2020",লালবাগ,154
"May 23, 2020",খিলগাঁও,123
"May 23, 2020",কাকরাইল,298
"May 23, 2020",যাত্রাবাড়ী,301
"May 24, 2020",রামপুরা,90
"May 24, 2020",বাড্ডা,123
"May 24, 2020",বাবু বাজার,143
"May 24, 2020",রাজারবাগ,212
"May 24, 2020",উত্তরা,202
"May 24, 2020",মুগদা,287
"May 24, 2020",তেজগাঁও,171
"May 24, 2020",বংশাল,99
"May 24, 2020",মোহাম্মদপুর,269
"May 24, 2020",মহাখালী,315
"May 24, 2020",মগবাজার,188
"May 24, 2020",মিরপুর,179
"May 24, 2020",মালিবাগ,131
"May 24, 2020",লালবাগ,162
"May 24, 2020",খিলগাঁও,142
"May 24, 2020",কাকরাইল,298
"May 24, 2020",যাত্রাবাড়ী,303
"May 24, 2020",গুলশান,85
"May 24, 2020",গেন্ডারিয়া,105
"May 24, 2020",ধানমন্ডি,147
"May 25, 2020",বাড্ডা,127
"May 25, 2020",বাবু বাজার,143
"May 25, 2020",বংশাল,99
"May 25, 2020",উত্তরা,211
"May 25, 2020",মিরপুর,207
"May 25, 2020",ধানমন্ডি,149
"May 25, 2020",রামপুরা,93
"May 25, 2020",রাজারবাগ,213
"May 25, 2020",মুগদা,295
"May 25, 2020",মোহাম্মদপুর,280
"May 25, 2020",মহাখালী,337
"May 25, 2020",মগবাজার,197
"May 25, 2020",তেজগাঁও,177
"May 25, 2020",মালিবাগ,131
"May 25, 2020",লালবাগ,162
"May 25, 2020",খিলগাঁও,150
"May 25, 2020",কাকরাইল,298
"May 25, 2020",যাত্রাবাড়ী,307
"May 25, 2020",গুলশান,91
"May 25, 2020",গেন্ডারিয়া,108
"May 26, 2020",বাবু বাজার,161
"May 26, 2020",লালবাগ,164
"May 26, 2020",উত্তরা,237
"May 26, 2020",খিলগাঁও,151
"May 26, 2020",রামপুরা,95
"May 26, 2020",রাজারবাগ,213
"May 26, 2020",কাকরাইল,298
"May 26, 2020",মুগদা,295
"May 26, 2020",মোহাম্মদপুর,288
"May 26, 2020",মহাখালী,356
"May 26, 2020",মগবাজার,205
"May 26, 2020",মিরপুর,230
"May 26, 2020",মালিবাগ,131
"May 26, 2020",বাড্ডা,129
"May 26, 2020",তেজগাঁও,184
"May 26, 2020",যাত্রাবাড়ী,315
"May 26, 2020",গুলশান,94
"May 26, 2020",গেন্ডারিয়া,109
"May 26, 2020",ধানমন্ডি,172
"May 26, 2020",বংশাল,99
"May 27, 2020",বাড্ডা,141
"May 27, 2020",বাবু বাজার,161
"May 27, 2020",বংশাল,99
"May 27, 2020",উত্তরা,243
"May 27, 2020",রামপুরা,100
"May 27, 2020",রাজারবাগ,214
"May 27, 2020",মুগদা,297
"May 27, 2020",মোহাম্মদপুর,295
"May 27, 2020",মহাখালী,374
"May 27, 2020",মগবাজার,210
"May 27, 2020",মিরপুর,248
"May 27, 2020",তেজগাঁও,192
"May 27, 2020",মালিবাগ,133
"May 27, 2020",লালবাগ,165
"May 27, 2020",খিলগাঁও,152
"May 27, 2020",কাকরাইল,299
"May 27, 2020",যাত্রাবাড়ী,320
"May 27, 2020",গুলশান,101
"May 27, 2020",গেন্ডারিয়া,113
"May 27, 2020",ধানমন্ডি,175
"May 28, 2020",রাজারবাগ,214
"May 28, 2020",বাড্ডা,148
"May 28, 2020",বাবু বাজার,161
"May 28, 2020",মুগদা,312
"May 28, 2020",উত্তরা,271
"May 28, 2020",ধানমন্ডি,185
"May 28, 2020",তেজগাঁও,200
"May 28, 2020",রামপুরা,108
"May 28, 2020",বংশাল,101
"May 28, 2020",মোহাম্মদপুর,309
"May 28, 2020",মহাখালী,401
"May 28, 2020",মগবাজার,215
"May 28, 2020",মিরপুর,280
"May 28, 2020",মালিবাগ,137
"May 28, 2020",লালবাগ,173
"May 28, 2020",খিলগাঁও,158
"May 28, 2020",কাকরাইল,299
"May 28, 2020",যাত্রাবাড়ী,339
"May 28, 2020",গুলশান,111
"May 28, 2020",গেন্ডারিয়া,115
"May 29, 2020",মিরপুর,290
"May 29, 2020",বাবু বাজার,161
"May 29, 2020",মগবাজার,218
"May 29, 2020",উত্তরা,282
"May 29, 2020",মোহাম্মদপুর,309
"May 29, 2020",মহাখালী,404
"May 29, 2020",তেজগাঁও,203
"May 29, 2020",রামপুরা,116
"May 29, 2020",রাজারবাগ,214
"May 29, 2020",মুগদা,321
"May 29, 2020",মালিবাগ,140
"May 29, 2020",লালবাগ,176
"May 29, 2020",খিলগাঁও,164
"May 29, 2020",কাকরাইল,299
"May 29, 2020",যাত্রাবাড়ী,340
"May 29, 2020",গুলশান,115
