date,district_city,cases
"May 21, 2020",জামালপুর,157
"May 23, 2020",হবিগঞ্জ,158
"May 8, 2020",চট্টগ্রাম,159
"Jun 4, 2020",যশোর,159
"May 24, 2020",হবিগঞ্জ,161
"May 25, 2020",হবিগঞ্জ,161
"May 26, 2020",হবিগঞ্জ,161
"May 16, 2020",কক্সবাজার,161
"May 21, 2020",নেত্রকোনা,164
"May 27, 2020",হবিগঞ্জ,165
"May 29, 2020",হবিগঞ্জ,165
"May 28, 2020",হবিগঞ্জ,165
"May 26, 2020",গোপালগঞ্জ,165
"May 27, 2020",গোপালগঞ্জ,165
"Jun 1, 2020",হবিগঞ্জ,168
"May 29, 2020",গোপালগঞ্জ,168
"May 31, 2020",হবিগঞ্জ,168
"May 19, 2020",নোয়াখালী,168
"May 30, 2020",গোপালগঞ্জ,168
"May 28, 2020",গোপালগঞ্জ,168
"May 9, 2020",কুমিল্লা,169
"Jun 3, 2020",হবিগঞ্জ,170
"Jun 2, 2020",হবিগঞ্জ,170
"May 10, 2020",কুমিল্লা,171
"May 10, 2020",নরসিংদী,171
"Jun 4, 2020",হবিগঞ্জ,171
"May 8, 2020",নরসিংদী,171
"May 9, 2020",নরসিংদী,171
"May 12, 2020",নরসিংদী,172
"May 29, 2020",ফরিদপুর,172
"May 28, 2020",ফরিদপুর,172
"May 30, 2020",ফরিদপুর,172
"May 11, 2020",নরসিংদী,172
"May 30, 2020",হবিগঞ্জ,173
"May 15, 2020",নরসিংদী,173
"May 14, 2020",নরসিংদী,173
"May 15, 2020",রংপুর,173
"May 16, 2020",নরসিংদী,173
"May 22, 2020",নেত্রকোনা,174
"May 17, 2020",নরসিংদী,174
"May 19, 2020",নরসিংদী,174
"May 27, 2020",নরসিংদী,175
"May 25, 2020",নরসিংদী,175
"May 26, 2020",নরসিংদী,175
"May 24, 2020",নরসিংদী,175
"May 23, 2020",নরসিংদী,175
"May 21, 2020",নরসিংদী,175
"May 20, 2020",নরসিংদী,175
"May 22, 2020",জামালপুর,175
"May 22, 2020",নরসিংদী,175
"May 29, 2020",নরসিংদী,176
"May 30, 2020",নরসিংদী,176
"May 28, 2020",নরসিংদী,176
"Jun 1, 2020",নরসিংদী,181
"May 31, 2020",নরসিংদী,181
"May 11, 2020",কুমিল্লা,182
"Jun 2, 2020",নরসিংদী,184
"May 17, 2020",কক্সবাজার,185
"May 23, 2020",জামালপুর,185
"May 12, 2020",কুমিল্লা,186
"Jun 3, 2020",নরসিংদী,188
"Jun 4, 2020",নরসিংদী,190
"May 25, 2020",জামালপুর,193
